Id,N_Victimas,Fecha_Siniestro,Hora,Lugar_Del_Hecho,Tipo_De_Calle,Comuna,Pos_X,Pos_Y,Victima,Acusado,Barrios,Rol,Sexo,Edad,Fecha_Fallecimiento,Semestre,Hora_Siniestro,Anio_Siniestro,Mes_Siniestro,Dia_Siniestro,Anio_Fallecimiento,Mes_Fallecimiento,Dia_Fallecimiento,Dia_Semana_Siniestro,Dia_Semana_Fallecimiento
2019-0019,1,2019-03-06,12:00:00,DEL LIBERTADOR AV. 6326,AVENIDA,13,-58.45049163,-34.55374003,Moto,Auto,"['Núñez', 'Belgrano', 'Colegiales']",CONDUCTOR,MASCULINO,42,2019-03-26,1,12,2019,3,6,2019,3,26,miÃ©rcoles,martes
2019-0020,1,2019-03-07,21:01:00,CHICLANA AV. 3444,AVENIDA,5,-58.41288952,-34.63572989,Moto,Auto,"['Almagro', 'Boedo']",CONDUCTOR,MASCULINO,43,2019-03-07,1,21,2019,3,7,2019,3,7,jueves,jueves
2019-0021,1,2019-03-15,22:50:00,BOYACA AV. Y YERBAL,AVENIDA,7,-58.45743597,-34.62561234,Moto,Auto,"['Flores', 'Parque Chacabuco']",CONDUCTOR,MASCULINO,23,2019-03-16,1,22,2019,3,15,2019,3,16,viernes,sÃ¡bado
2019-0022,1,2019-03-15,00:00:00,ENTRE RIOS AV. BAJO PUENTE AUTOPISTA (1260 APROX),AVENIDA,1,-58.39123782,-34.62352245,Auto,Sd,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",PASAJERO_ACOMPAÑANTE,MASCULINO,42,2019-03-15,1,0,2019,3,15,2019,3,15,viernes,viernes
2019-0023,1,2019-03-16,08:28:00,"PAZ, GRAL. AV. Y JACQUES, AMADEO",AVENIDA,9,-58.52922765,-34.63637963,Auto,Objeto Fijo,"['Liniers', 'Mataderos', 'Parque Avellaneda']",CONDUCTOR,MASCULINO,34,2019-03-16,1,8,2019,3,16,2019,3,16,sÃ¡bado,sÃ¡bado
2019-0024,1,2019-03-19,07:12:00,ANTARTIDA ARGENTINA AV. 1325,AVENIDA,1,-58.37208118,-34.58541957,Moto,Cargas,"['Retiro', 'San Nicolás', 'Puerto Madero', 'San Telmo', 'Montserrat', 'Constitución']",CONDUCTOR,MASCULINO,32,2019-03-19,1,7,2019,3,19,2019,3,19,martes,martes
2019-0025,1,2019-03-22,13:10:00,"MITRE, BARTOLOME Y SANCHEZ DE BUSTAMANTE",CALLE,5,-58.41458534,-34.60937557,Peaton,Auto,"['Almagro', 'Boedo']",PEATON,MASCULINO,27,2019-04-04,1,13,2019,3,22,2019,4,4,viernes,jueves
2019-0026,1,2019-03-28,07:32:00,"FERNANDEZ DE LA CRUZ, F. , GRAL. AV. Y LARRAZABAL",AVENIDA,8,-58.47976785,-34.69153196,Peaton,Pasajeros,"['Villa Soldati', 'Villa Riachuelo', 'Villa Lugano']",PEATON,MASCULINO,42,2019-03-28,1,7,2019,3,28,2019,3,28,jueves,jueves
2019-0027,1,2019-03-28,11:11:00,SANTA FE AV. Y AZCUENAGA,AVENIDA,2,-58.39990285,-34.59511714,Bicicleta,Multiple,['Recoleta'],CICLISTA,MASCULINO,37,2019-03-28,1,11,2019,3,28,2019,3,28,jueves,jueves
2019-0028,1,2019-04-06,09:15:00,"JUSTO, JUAN B. AV. y OROÑO, NICASIO",AVENIDA,11,-58.46051346,-34.60588536,Peaton,Pasajeros,"['Villa General Mitre', 'Villa Devoto', 'Villa del Parque', 'Villa Santa Rita']",PEATON,FEMENINO,42,2019-04-06,1,9,2019,4,6,2019,4,6,sÃ¡bado,sÃ¡bado
